"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 28 20:42:35 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","903","","iteration1.api.ChangeNameTest","","iteration1.api.ChangeNameTest","userCanNotChangeToInvalidName","userCanNotChangeToInvalidName(String, String) [2] invalidName=5414141alex, errorType=Name must contain two words with letters only",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:38 UTC 2026","1963","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCanTransferToDifferentAccountTest","userCanTransferToDifferentAccountTest()",""
"passed","Wed Jan 28 20:42:30 UTC 2026","Wed Jan 28 20:42:34 UTC 2026","4225","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCanMakeTransactionWithLargeAmountTest","userCanMakeTransactionWithLargeAmountTest(double) [1] amount=9999.99",""
"passed","Wed Jan 28 20:42:35 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","331","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Jan 28 20:42:38 UTC 2026","Wed Jan 28 20:42:39 UTC 2026","1109","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCannotTransferInvalidAmountTest","userCannotTransferInvalidAmountTest(double, String) [1] amount=10000.01, errorType=Transfer amount cannot exceed 10000",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","191","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]",""
"passed","Wed Jan 28 20:42:33 UTC 2026","Wed Jan 28 20:42:34 UTC 2026","989","","iteration1.api.CreateAccountTest","","iteration1.api.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Wed Jan 28 20:42:30 UTC 2026","Wed Jan 28 20:42:32 UTC 2026","1585","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
"passed","Wed Jan 28 20:42:38 UTC 2026","Wed Jan 28 20:42:39 UTC 2026","1292","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCannotTransferInvalidAmountTest","userCannotTransferInvalidAmountTest(double, String) [3] amount=-0.01, errorType=Invalid transfer: insufficient funds or invalid accounts",""
"passed","Wed Jan 28 20:42:30 UTC 2026","Wed Jan 28 20:42:33 UTC 2026","3299","","iteration1.api.ChangeNameTest","","iteration1.api.ChangeNameTest","userCanNotChangeToInvalidName","userCanNotChangeToInvalidName(String, String) [3] invalidName=5414141alex$$$, errorType=Name must contain two words with letters only",""
"passed","Wed Jan 28 20:42:35 UTC 2026","Wed Jan 28 20:42:35 UTC 2026","350","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:38 UTC 2026","1563","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCannotTransferInvalidAmountTest","userCannotTransferInvalidAmountTest(double, String) [2] amount=0, errorType=Invalid transfer: insufficient funds or invalid accounts",""
"passed","Wed Jan 28 20:42:34 UTC 2026","Wed Jan 28 20:42:35 UTC 2026","861","","iteration1.api.ChangeNameTest","","iteration1.api.ChangeNameTest","userCanNotChangeToInvalidName","userCanNotChangeToInvalidName(String, String) [1] invalidName=, errorType=Name must contain two words with letters only",""
"passed","Wed Jan 28 20:42:38 UTC 2026","Wed Jan 28 20:42:39 UTC 2026","882","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCanMakeDepositTest","userCanMakeDepositTest(double) [2] balance=4999.99",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","332","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData","adminCanCreateUserWithCorrectData()",""
"passed","Wed Jan 28 20:42:34 UTC 2026","Wed Jan 28 20:42:35 UTC 2026","979","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCannotDepositInvalidBalanceTest","userCannotDepositInvalidBalanceTest(double, String) [3] balance=0, errorValue=Invalid account or amount",""
"passed","Wed Jan 28 20:42:33 UTC 2026","Wed Jan 28 20:42:34 UTC 2026","941","","iteration1.api.ChangeNameTest","","iteration1.api.ChangeNameTest","userCanNotChangeToInvalidName","userCanNotChangeToInvalidName(String, String) [4] invalidName=alexpetrov, errorType=Name must contain two words with letters only",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:37 UTC 2026","920","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCannotDepositInvalidBalanceTest","userCannotDepositInvalidBalanceTest(double, String) [2] balance=-0.01, errorValue=Invalid account or amount",""
"passed","Wed Jan 28 20:42:33 UTC 2026","Wed Jan 28 20:42:34 UTC 2026","1302","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCannotDepositToInvalidAccountTest","userCannotDepositToInvalidAccountTest(int, int) [1] account=2, balance=1000",""
"passed","Wed Jan 28 20:42:37 UTC 2026","Wed Jan 28 20:42:38 UTC 2026","892","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCanMakeDepositTest","userCanMakeDepositTest(double) [3] balance=0.01",""
"failed","Wed Jan 28 20:42:30 UTC 2026","Wed Jan 28 20:42:33 UTC 2026","3271","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCannotDepositToInvalidAccountTest","userCannotDepositToInvalidAccountTest(int, int) [2] account=4, balance=1000",""
"passed","Wed Jan 28 20:42:35 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","1006","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCannotDepositInvalidBalanceTest","userCannotDepositInvalidBalanceTest(double, String) [1] balance=5000.01, errorValue=Deposit amount exceeds the 5000 limit",""
"passed","Wed Jan 28 20:42:37 UTC 2026","Wed Jan 28 20:42:38 UTC 2026","1392","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCanMakeTransactionWithSmallAmountTest","userCanMakeTransactionWithSmallAmountTest(double) [1] amount=500",""
"passed","Wed Jan 28 20:42:32 UTC 2026","Wed Jan 28 20:42:33 UTC 2026","676","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Wed Jan 28 20:42:34 UTC 2026","Wed Jan 28 20:42:35 UTC 2026","1149","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Jan 28 20:42:38 UTC 2026","Wed Jan 28 20:42:39 UTC 2026","835","","iteration1.api.MakeDepositTest","","iteration1.api.MakeDepositTest","userCanMakeDepositTest","userCanMakeDepositTest(double) [1] balance=4000",""
"passed","Wed Jan 28 20:42:34 UTC 2026","Wed Jan 28 20:42:35 UTC 2026","1533","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCannotTransferMoreThanAccountBalanceTest","userCannotTransferMoreThanAccountBalanceTest()",""
"passed","Wed Jan 28 20:42:36 UTC 2026","Wed Jan 28 20:42:36 UTC 2026","687","","iteration1.api.ChangeNameTest","","iteration1.api.ChangeNameTest","userCanChangeNameTest","userCanChangeNameTest()",""
"passed","Wed Jan 28 20:42:35 UTC 2026","Wed Jan 28 20:42:37 UTC 2026","1476","","iteration1.api.MakeTransactionTest","","iteration1.api.MakeTransactionTest","userCanMakeTransactionWithSmallAmountTest","userCanMakeTransactionWithSmallAmountTest(double) [2] amount=0.01",""
